"y" "x1" "x2" "x3" "x4"
"50.81" " 8.818" "-0.313169" "3.898" "1"
"56.32" " 9.295" " 0.715413" "4.681" "1"
"78.35" "11.380" " 2.839788" "6.100" "1"
"68.13" "10.645" " 1.617501" "5.681" "1"
"68.38" "10.566" " 1.511908" "5.306" "1"
"66.24" "10.149" " 1.510596" "4.905" "1"
"57.71" " 9.766" " 0.813865" "5.499" "1"
"72.60" "10.963" " 1.647629" "5.271" "1"
"70.86" "11.000" " 2.438214" "6.741" "1"
"73.86" "11.058" " 2.150016" "5.735" "1"
"49.74" " 8.754" "-0.157544" "4.216" "1"
"60.94" "10.137" " 0.951586" "5.650" "1"
"62.11" "10.204" " 1.069563" "5.627" "1"
"58.80" " 9.643" " 1.342213" "5.538" "1"
"54.05" " 9.193" " 0.540188" "4.856" "1"
"47.74" " 8.423" "-0.574128" "3.540" "1"
"64.71" "10.386" " 1.474011" "5.824" "1"
"61.51" " 9.829" " 0.994747" "4.838" "1"
"46.29" " 8.683" "-0.009769" "4.350" "2"
"63.52" "10.449" " 1.676404" "5.721" "2"
"55.49" " 9.763" " 0.383238" "4.787" "2"
"66.98" "10.721" " 1.891586" "5.681" "2"
"59.12" "10.214" " 0.668439" "5.188" "2"
"52.88" " 9.679" " 0.413162" "5.326" "2"
"47.12" " 9.006" " 0.442550" "5.372" "2"
"72.88" "11.309" " 2.570089" "6.280" "2"
"50.52" " 9.017" " 0.084371" "4.077" "2"
"58.38" "10.161" " 0.600831" "5.185" "2"
"61.98" "10.152" " 0.326768" "3.895" "2"
"50.21" " 8.943" " 0.433777" "4.394" "2"
"59.74" " 9.838" " 1.352013" "4.941" "2"
"46.12" " 8.798" "-0.121667" "4.521" "2"
"58.53" "10.169" " 0.307156" "4.827" "2"
"55.66" " 9.727" "-0.276184" "3.910" "2"
"59.48" "10.217" " 0.842839" "5.299" "2"
"40.96" " 8.080" "-0.494739" "3.882" "2"
"67.25" "11.041" " 1.578021" "6.001" "2"
"55.37" " 9.709" " 1.157551" "5.590" "2"
"59.29" " 9.853" " 1.014239" "4.705" "2"
"63.09" "10.439" " 1.449598" "5.551" "2"
"45.24" " 8.379" "-0.633879" "3.245" "2"
"43.83" " 8.165" "-0.314468" "3.513" "2"
"57.94" "10.005" " 0.676751" "5.026" "2"
"63.66" "10.426" " 1.858026" "5.840" "2"
"71.10" "10.870" " 2.272571" "5.372" "2"
"44.46" " 8.292" "-0.380490" "3.548" "2"
"68.30" "10.981" " 1.725998" "5.750" "2"
"46.75" " 8.976" "-0.078716" "4.269" "3"
"68.67" "11.078" " 2.868277" "6.672" "3"
"64.38" "10.935" " 1.773198" "6.210" "3"
"52.62" " 9.422" "-0.104748" "3.686" "3"
"60.48" "10.339" " 1.518425" "5.560" "3"
"66.26" "10.951" " 1.049027" "4.913" "3"
"47.20" " 9.002" " 0.510760" "4.884" "3"
"49.95" " 9.334" " 0.733954" "5.158" "3"
"50.88" " 9.239" " 1.152016" "5.181" "3"
"61.01" "10.354" " 1.539071" "5.476" "3"
"53.08" " 9.641" " 0.307342" "4.530" "3"
"60.79" "10.434" " 1.733363" "5.947" "3"
"53.89" " 9.518" " 0.835626" "4.638" "3"
"49.56" " 9.267" "-0.288529" "3.939" "3"
"70.27" "11.316" " 1.963530" "5.761" "3"
"48.11" " 8.666" "-0.049990" "3.254" "3"
"70.12" "11.099" " 2.988339" "6.472" "3"
"58.49" "10.079" " 1.414640" "5.367" "3"
"61.82" "10.672" " 1.542383" "6.009" "3"
"59.56" "10.280" " 1.660566" "5.833" "3"
"72.04" "11.354" " 2.820884" "6.369" "3"
"47.40" " 8.649" " 0.208533" "3.697" "3"
"43.38" " 8.692" " 0.258925" "4.922" "3"
"60.06" "10.100" " 1.264519" "4.823" "3"
"57.22" " 9.715" " 0.739813" "4.093" "3"
"39.59" " 8.462" "-0.524162" "4.518" "3"
"56.83" "10.017" " 1.974766" "6.326" "3"
"55.36" " 9.435" " 0.582612" "3.770" "3"
"45.66" " 8.830" " 0.403985" "4.789" "3"
"43.87" " 8.616" "-0.867423" "3.336" "3"
"41.69" " 8.528" "-0.729084" "3.874" "3"
"54.17" " 9.931" " 0.735633" "5.399" "3"
"55.88" " 9.565" " 1.042929" "4.455" "3"
"70.16" "11.074" " 3.089061" "6.520" "3"
"56.51" " 9.832" " 1.237746" "5.124" "3"
"56.15" " 9.652" " 0.064674" "3.467" "3"
